"iso3","country","continent","population","GNI"
"ABW","Aruba","North America",108,0
"AFG","Afghanistan","Asia",34385,410
"AGO","Angola","Africa",19082,3960
"ALB","Albania","Europe",3205,3960
"ARE","United Arab Emirates","Asia",7512,0
"ARG","Argentina","South America",40412,8620
"ARM","Armenia","Asia",3092,3200
"ASM","American Samoa","Oceania",68,0
"ATG","Antigua and Barbuda","North America",88,13280
"AUS","Australia","Oceania",22299,46200
"AUT","Austria","Europe",8390,47030
"AZE","Azerbaijan","Asia",9054,5330
"BDI","Burundi","Africa",8382,170
"BEL","Belgium","Europe",10896,45840
"BEN","Benin","Africa",8850,780
"BFA","Burkina Faso","Africa",16468,550
"BGD","Bangladesh","Asia",148692,700
"BGR","Bulgaria","Europe",7534,6280
"BHR","Bahrain","Asia",1262,0
"BHS","Bahamas","North America",343,22240
"BIH","Bosnia and Herzegovina","Europe",3760,4770
"BLR","Belarus","Europe",9490,5950
"BLZ","Belize","North America",345,3810
"BMU","Bermuda","North America",65,0
"BOL","Bolivia","South America",9929,1810
"BRA","Brazil","South America",194946,9390
"BRB","Barbados","North America",274,0
"BRN","Brunei Darussalam","Asia",399,0
"BTN","Bhutan","Asia",726,1870
"BWA","Botswana","Africa",2007,6740
"CAF","Central African Republic","Africa",4401,470
"CAN","Canada","North America",34126,43250
"CHE","Switzerland","Europe",7826,71520
"CHL","Chile","South America",17114,10120
"CHN","China","Asia",1338300,4270
"CIV","Cote d'Ivoire","Africa",19738,1160
"CMR","Cameroon","Africa",19599,1200
"COG","Congo","Africa",4043,2240
"COL","Colombia","South America",46295,5510
"COM","Comoros","Africa",735,750
"CPV","Cape Verde","Africa",496,3270
"CRI","Costa Rica","North America",4659,6810
"CUB","Cuba","North America",11258,0
"CUW","Curacao","North America",143,0
"CYM","Cayman Islands","North America",56,0
"CYP","Cyprus","Asia",1103,29430
"CZE","Czech Republic","Europe",10520,17890
"DEU","Germany","Europe",81777,43070
"DJI","Djibouti","Africa",889,0
"DMA","Dominica","North America",68,6740
"DNK","Denmark","Europe",5547,59400
"DOM","Dominican Republic","North America",9927,5030
"DZA","Algeria","Africa",35468,4390
"ECU","Ecuador","South America",14465,3850
"EGY","Egypt","Africa",81121,2420
"ERI","Eritrea","Africa",5254,340
"ESP","Spain","Europe",46071,31750
"EST","Estonia","Europe",1340,14460
"ETH","Ethiopia","Africa",82950,390
"FIN","Finland","Europe",5364,47570
"FJI","Fiji","Oceania",860,3630
"FRA","France","Europe",64895,42370
"FRO","Faroe Islands","Europe",49,0
"FSM","Micronesia","Oceania",111,2740
"GAB","Gabon","Africa",1505,7650
"GBR","United Kingdom of Great Britain & Northern Ireland","Europe",62232,38200
"GEO","Georgia","Asia",4452,2690
"GHA","Ghana","Africa",24392,1250
"GIB","Gibraltar","Europe",29,0
"GIN","Guinea","Africa",9982,400
"GMB","Gambia","Africa",1729,450
"GNB","Guinea-Bissau","Africa",1515,590
"GNQ","Equatorial Guinea","Africa",700,14550
"GRC","Greece","Europe",11316,26950
"GRD","Grenada","North America",104,6960
"GRL","Greenland","North America",57,0
"GTM","Guatemala","North America",14389,2740
"GUM","Guam","Oceania",179,0
"GUY","Guyana","South America",755,2870
"HKG","Hong Kong","Asia",7068,32780
"HND","Honduras","North America",7600,1870
"HRV","Croatia","Europe",4418,13890
"HTI","Haiti","North America",9993,0
"HUN","Hungary","Europe",10000,12860
"IDN","Indonesia","Asia",239870,2500
"IND","India","Asia",1224615,1270
"IRL","Ireland","Europe",4475,41820
"IRN","Iran","Asia",73973,0
"IRQ","Iraq","Asia",32031,2340
"ISL","Iceland","Europe",318,32640
"ISR","Israel","Asia",7624,27180
"ITA","Italy","Europe",60483,35700
"JAM","Jamaica","North America",2702,4800
"JOR","Jordan","Asia",6047,4340
"JPN","Japan","Asia",127451,41850
"KAZ","Kazakhstan","Asia",16323,7580
"KEN","Kenya","Africa",40513,810
"KGZ","Kyrgyz Republic","Asia",5448,830
"KHM","Cambodia","Asia",14139,750
"KIR","Kiribati","Oceania",100,2000
"KNA","Saint Kitts and Nevis","North America",52,11830
"KOR","Korea","Asia",48875,19890
"KWT","Kuwait","Asia",2736,0
"LAO","Lao People's Democratic Republic","Asia",6201,1040
"LBN","Lebanon","Asia",4227,8880
"LBR","Liberia","Africa",3994,200
"LBY","Libya","Africa",6355,0
"LCA","Saint Lucia","North America",174,6560
"LIE","Liechtenstein","Europe",36,0
"LKA","Sri Lanka","Asia",20860,2240
"LSO","Lesotho","Africa",2171,1090
"LTU","Lithuania","Europe",3287,11510
"LUX","Luxembourg","Europe",507,76980
"LVA","Latvia","Europe",2239,11640
"MAC","Macao","Asia",544,0
"MAF","Saint Martin","North America",30,0
"MAR","Morocco","Africa",31951,2850
"MCO","Monaco","Europe",35,0
"MDA","Moldova","Europe",3562,1810
"MDG","Madagascar","Africa",20714,430
"MDV","Maldives","Asia",316,5750
"MEX","Mexico","North America",113423,8930
"MHL","Marshall Islands","Oceania",54,3640
"MKD","Macedonia","Europe",2060,4570
"MLI","Mali","Africa",15370,600
"MLT","Malta","Europe",416,19130
"MMR","Myanmar","Asia",47963,0
"MNE","Montenegro","Europe",632,6740
"MNG","Mongolia","Asia",2756,1870
"MNP","Northern Mariana Islands","Oceania",61,0
"MOZ","Mozambique","Africa",23390,440
"MRT","Mauritania","Africa",3460,1000
"MUS","Mauritius","Africa",1281,7850
"MWI","Malawi","Africa",14901,330
"MYS","Malaysia","Asia",28401,7760
"MYT","Mayotte","Africa",204,0
"NAM","Namibia","Africa",2283,4510
"NCL","New Caledonia","Oceania",247,0
"NER","Niger","Africa",15512,370
"NGA","Nigeria","Africa",158423,1230
"NIC","Nicaragua","North America",5789,1110
"NLD","Netherlands","Europe",16616,49030
"NOR","Norway","Europe",4889,87350
"NPL","Nepal","Asia",29959,490
"NZL","New Zealand","Oceania",4368,0
"OMN","Oman","Asia",2783,0
"PAK","Pakistan","Asia",173593,1050
"PAN","Panama","North America",3517,6970
"PER","Peru","South America",29076,4700
"PHL","Philippines","Asia",93261,2060
"PLW","Palau","Oceania",20,6560
"PNG","Papua New Guinea","Oceania",6858,1300
"POL","Poland","Europe",38184,12440
"PRI","Puerto Rico","North America",3978,15500
"PRK","Korea","Asia",24346,0
"PRT","Portugal","Europe",10638,21870
"PRY","Paraguay","South America",6454,2720
"PYF","French Polynesia","Oceania",271,0
"QAT","Qatar","Asia",1759,0
"RUS","Russian Federation","Europe",141750,9900
"RWA","Rwanda","Africa",10624,520
"SAU","Saudi Arabia","Asia",27448,0
"SDN","Sudan","Africa",43552,1270
"SEN","Senegal","Africa",12434,1080
"SGP","Singapore","Asia",5077,40070
"SLB","Solomon Islands","Oceania",538,1030
"SLE","Sierra Leone","Africa",5867,340
"SLV","El Salvador","North America",6193,3380
"SMR","San Marino","Europe",32,0
"SOM","Somalia","Africa",9331,0
"SRB","Serbia","Europe",7291,5630
"SSD","South Sudan","Africa",0,0
"STP","Sao Tome and Principe","Africa",165,1200
"SUR","Suriname","South America",525,0
"SVK","Slovakia (Slovak Republic)","Europe",5430,16840
"SVN","Slovenia","Europe",2049,23900
"SWE","Sweden","Europe",9378,50100
"SWZ","Swaziland","Africa",1056,2930
"SXM","Sint Maarten (Dutch part)","North America",38,0
"SYC","Seychelles","Africa",87,9710
"SYR","Syrian Arab Republic","Asia",20447,2750
"TCA","Turks and Caicos Islands","North America",38,0
"TCD","Chad","Africa",11227,620
"TGO","Togo","Africa",6028,490
"THA","Thailand","Asia",69122,4150
"TJK","Tajikistan","Asia",6879,800
"TKM","Turkmenistan","Asia",5042,3790
"TON","Tonga","Oceania",104,3290
"TTO","Trinidad and Tobago","North America",1341,15380
"TUN","Tunisia","Africa",10549,4160
"TUR","Turkey","Asia",72752,9890
"TUV","Tuvalu","Oceania",10,4760
"TZA","Tanzania","Africa",44841,540
"UGA","Uganda","Africa",33424,500
"UKR","Ukraine","Europe",45871,3000
"URY","Uruguay","South America",3357,10230
"USA","United States of America","North America",309349,47340
"UZB","Uzbekistan","Asia",28228,1280
"VCT","Saint Vincent and the Grenadines","North America",109,6320
"VEN","Venezuela","South America",28834,11590
"VIR","United States Virgin Islands","North America",110,0
"VNM","Vietnam","Asia",86928,1160
"VUT","Vanuatu","Oceania",240,2640
"WSM","Samoa","Oceania",184,2980
"YEM","Yemen","Asia",24053,1170
"ZAF","South Africa","Africa",49991,6090
"ZMB","Zambia","Africa",12927,1070
"ZWE","Zimbabwe","Africa",12571,460
